timestamp,spot_open,spot_high,spot_low,spot_close,spot_volume,ce_open,ce_high,ce_low,ce_close,ce_volume,ce_iv,ce_oi,ce_strike,pe_open,pe_high,pe_low,pe_close,pe_volume,pe_iv,pe_oi,pe_strike
2024-02-08 14:36:00 +0530,21696.5,21701.15,21686.95,21686.95,0.0,15.4,15.4,11.2,12.0,14514300,20.152425,20158150,21700.0,31.25,41.55,27.3,38.3,17410900,35.876453,18988100,21700.0
2024-02-08 14:37:00 +0530,21687.7,21696.2,21685.95,21685.95,0.0,12.3,13.15,11.1,11.35,11160150,20.019731,20158150,21700.0,37.55,39.95,31.2,37.7,10759250,34.846827,18988100,21700.0
2024-02-08 14:38:00 +0530,21687.95,21692.25,21684.05,21684.45,0.0,11.9,11.9,9.35,9.35,9888150,18.415526,24542150,21700.0,36.0,38.45,31.15,38.3,7651250,34.865296,16293450,21700.0
2024-02-08 14:39:00 +0530,21683.5,21688.7,21676.3,21688.7,0.0,9.1,9.65,7.85,9.5,19438250,16.854443,24542150,21700.0,39.95,44.35,32.45,32.45,12188150,31.127623,16293450,21700.0
2024-02-08 14:40:00 +0530,21689.75,21689.75,21678.75,21686.55,0.0,9.35,9.35,8.1,9.0,10543550,17.392898,24542150,21700.0,33.1,39.35,32.65,34.1,6534800,31.942224,16293450,21700.0
2024-02-08 14:41:00 +0530,21687.25,21689.85,21682.95,21686.35,0.0,8.6,9.65,8.05,8.7,9589550,17.27903,26663850,21700.0,36.0,36.4,32.15,33.75,5104500,31.695139,15316300,21700.0
2024-02-08 14:42:00 +0530,21686.45,21702.25,21686.45,21699.2,0.0,8.7,11.8,8.7,11.55,15744600,14.322208,26663850,21700.0,34.05,34.05,21.45,22.8,11671200,27.194904,15316300,21700.0
2024-02-08 14:43:00 +0530,21696.7,21701.1,21692.15,21697.65,0.0,11.55,11.9,8.6,9.95,10821650,13.430867,26663850,21700.0,22.2,28.7,21.65,24.75,7771900,28.899011,15316300,21700.0
2024-02-08 14:44:00 +0530,21697.15,21698.8,21689.7,21695.15,0.0,9.9,10.35,8.55,9.55,8187700,14.48908,28572850,21700.0,25.1,29.7,23.95,26.5,5103550,29.758813,16074850,21700.0
2024-02-08 14:45:00 +0530,21694.8,21705.9,21692.1,21694.95,0.0,9.6,13.0,8.8,9.3,14435450,14.445346,28572850,21700.0,25.75,26.6,18.45,24.35,10899550,27.257864,16074850,21700.0
2024-02-08 14:46:00 +0530,21695.2,21702.1,21695.1,21699.35,0.0,10.0,11.05,9.2,10.4,8189950,13.423831,28572850,21700.0,23.25,25.65,21.5,23.25,4989750,29.057102,16074850,21700.0
2024-02-08 14:47:00 +0530,21699.6,21703.4,21696.95,21703.4,0.0,10.25,12.15,9.8,11.3,8081800,12.00781,29298300,21700.0,24.05,24.35,19.2,19.9,5865150,27.636517,16839400,21700.0
2024-02-08 14:48:00 +0530,21703.75,21706.45,21698.8,21703.6,0.0,11.35,12.55,9.7,11.25,8935300,11.940317,29298300,21700.0,20.05,22.75,17.35,19.9,7382650,28.083453,16839400,21700.0
2024-02-08 14:49:00 +0530,21703.35,21705.85,21698.1,21704.5,0.0,11.2,12.35,10.3,11.3,7471700,11.466606,29298300,21700.0,18.75,22.95,17.45,19.05,6809350,27.859193,16839400,21700.0
2024-02-08 14:50:00 +0530,21704.35,21706.05,21699.9,21700.6,0.0,11.75,11.75,9.3,9.55,8665800,12.131937,29402400,21700.0,17.9,21.75,17.8,21.7,6768350,29.236933,17965950,21700.0
2024-02-08 14:51:00 +0530,21700.65,21701.25,21685.7,21691.65,0.0,9.25,9.85,5.15,6.15,20872850,13.009429,29402400,21700.0,21.95,36.0,21.35,30.15,16094150,34.67052,17965950,21700.0
2024-02-08 14:52:00 +0530,21691.45,21695.5,21690.15,21692.45,0.0,6.45,7.6,6.05,6.75,10519750,13.608514,29402400,21700.0,29.0,30.55,24.2,26.95,7256000,31.340009,17965950,21700.0
2024-02-08 14:53:00 +0530,21693.55,21698.5,21690.15,21690.15,0.0,6.9,7.9,6.35,6.35,7657550,14.450269,31971100,21700.0,26.85,26.85,22.5,26.6,5010600,29.473086,16417700,21700.0
2024-02-08 14:54:00 +0530,21689.65,21696.6,21688.4,21694.05,0.0,6.4,7.4,6.25,6.95,6981500,13.362311,31971100,21700.0,26.8,26.8,22.65,24.15,5176900,29.486016,16417700,21700.0
2024-02-08 14:55:00 +0530,21693.05,21697.5,21684.35,21685.05,0.0,6.95,7.35,4.15,4.75,15618350,14.924625,31971100,21700.0,23.8,32.55,22.4,29.7,9177200,30.43157,16417700,21700.0
2024-02-08 14:56:00 +0530,21687.95,21691.55,21683.6,21683.6,0.0,4.8,5.5,4.65,4.75,11398550,15.839887,33439150,21700.0,29.85,30.5,26.05,29.85,5700500,29.759148,15641100,21700.0
2024-02-08 14:57:00 +0530,21684.1,21688.25,21680.75,21682.6,0.0,4.9,5.35,3.7,3.7,10876750,14.675662,33439150,21700.0,29.1,35.05,26.1,35.05,6617900,37.179597,15641100,21700.0
2024-02-08 14:58:00 +0530,21680.95,21682.1,21668.15,21671.6,0.0,26.3,29.05,19.3,21.9,8720550,7.111943,6185950,21650.0,7.85,12.45,6.35,9.35,29078050,26.974307,20315650,21650.0
2024-02-08 14:59:00 +0530,21672.0,21673.5,21666.0,21670.95,0.0,22.65,22.65,17.15,20.45,9992650,0.0,8544650,21650.0,9.05,11.9,8.35,8.35,18905450,25.36172,16836050,21650.0
2024-02-08 15:00:00 +0530,21673.2,21687.3,21672.1,21672.1,0.0,20.9,27.75,18.1,18.1,11537250,0.0,8544650,21650.0,7.65,9.55,4.1,7.5,30056950,24.892978,16836050,21650.0
2024-02-08 15:01:00 +0530,21672.1,21683.6,21672.1,21677.85,0.0,2.25,2.8,1.6,1.6,20528650,13.056075,33891250,21700.0,40.1,40.1,33.4,37.15,6956450,38.244269,12787550,21700.0
