Date,Breakout Type,Entry Time,Underlying Entry Price,OR High,OR Low,OR Width,Gap %,Inside Day,Outside Day,Relation PDH/PDL,Days To Expiry,Day Of Week,Max Continuation,Max Adverse,Sustained,Failed,ATR,ADX,RSI,VWAP Dist,ATM MFE %,ATM MAE %,ATM Peak Time,ATM Time To Peak Min,ATM Decay %,ATM Gamma Eff,ATM Expansion Quality Score,ATM Peak Exhaustion Score,ATM Expected Opportunity Score,ATM Time To 50%,ATM Time Above 50%,ATM Exit Hybrid Return %,ATM Exit Hybrid Capture Eff,ATM Exit Hybrid Retention Ratio,ATM Exit Hybrid Lost Profit,Volatility Regime,Trend Regime,Auction Archetype,Failure Reason
2025-08-19,bullish,2025-08-19 12:01:00 +0530,24953.65,24936.4492,24886.9492,49.5,0.0,false,false,inside,4,Tuesday,59.00039999999717,34.25,true,false,,,,,9.04,-29.67,2025-08-19 12:14:00 +0530,13,35.5,0.153,33,100,0,,0,-0.59,-0.0652,0.0,9.8,normal,trending,open_auction,none
2025-08-20,bullish,2025-08-20 09:50:00 +0530,24985.75,24983.75,24932.1504,51.599600000001374,0.0,false,false,inside,4,Wednesday,102.94919999999911,38.400000000001455,true,false,,,,,2.81,-55.05,2025-08-20 11:15:00 +0530,85,56.28,0.027,21,100,0,,0,-32.09,-11.4082,0.0,30.4,normal,trending,open_auction,none
2025-08-21,bearish,2025-08-21 09:40:00 +0530,25056.85,25144.8496,25058.5996,86.25,0.0,false,false,inside,4,Thursday,1.9499999999970896,96.80040000000008,false,true,,,,,62.77,-99.86,2025-08-21 09:47:00 +0530,7,99.91,32.188,55,100,0,6,1,-23.68,-0.3773,0.0,30.3,normal,mean_reverting,trend_from_open,vwap_reclaimed
2025-08-21,bullish,2025-08-21 14:18:00 +0530,25148.25,25144.8496,25058.5996,86.25,0.0,false,false,inside,4,Thursday,0.09999999999854481,79.70000000000073,false,true,,,,,191.67,-99.62,2025-08-21 14:27:00 +0530,9,99.87,1916.667,55,100,71,8,10,-53.79,-0.2806,0.0,32.4,normal,mean_reverting,trend_from_open,vwap_reclaimed
2025-08-22,bearish,2025-08-22 09:31:00 +0530,24978.2,25084.8496,24985.4004,99.44920000000275,0.0,false,false,inside,4,Friday,119.0496000000021,7.450000000000728,true,false,,,,,15.98,-24.91,2025-08-22 09:52:00 +0530,21,35.26,0.134,34,100,0,,0,-8.36,-0.5234,0.0,27.65,normal,mean_reverting,trend_from_open,none
2025-08-25,bullish,2025-08-25 09:39:00 +0530,24964.0,24961.3496,24915.0,46.349600000001374,0.0,false,false,inside,4,Monday,57.55080000000089,69.65039999999863,true,false,,,,,10.62,-33.88,2025-08-25 10:02:00 +0530,23,40.23,0.185,30,100,0,,0,-2.34,-0.2198,0.0,14.15,normal,trending,open_rejection_reverse,none
2025-08-26,bearish,2025-08-26 09:31:00 +0530,24785.5,24919.6504,24796.5996,123.05079999999725,0.0,false,false,inside,4,Tuesday,95.90039999999863,52.79999999999927,true,false,,,,,12.24,-45.51,2025-08-26 09:49:00 +0530,18,51.45,0.128,26,100,0,,0,-14.19,-1.159,0.0,21.05,normal,mean_reverting,open_test_drive,none
2025-08-28,bearish,2025-08-28 09:34:00 +0530,24512.35,24702.6504,24514.3496,188.30079999999725,0.0,false,false,inside,4,Thursday,30.75039999999717,165.5500000000029,false,true,,,,,46.29,-99.89,2025-08-28 09:45:00 +0530,11,99.92,1.505,43,100,0,,0,-9.71,-0.2099,0.0,24.5,normal,trending,failed_auction,vwap_reclaimed
2025-08-29,bullish,2025-08-29 11:36:00 +0530,24565.55,24564.3496,24466.5996,97.75,0.0,false,false,inside,4,Friday,6.900000000001455,160.85080000000016,false,true,,,,,12.33,-30.3,2025-08-29 15:21:00 +0530,225,25.59,1.787,34,100,0,,0,-0.39,-0.0314,0.0,14.8,normal,mean_reverting,open_auction,vwap_reclaimed
2025-08-29,bearish,2025-08-29 14:39:00 +0530,24461.8,24564.3496,24466.5996,97.75,0.0,false,false,inside,4,Friday,57.10080000000016,29.049999999999272,true,false,,,,,24.19,-23.98,2025-08-29 14:57:00 +0530,18,38.79,0.424,39,100,0,,0,-2.66,-0.1098,0.0,18.7,normal,mean_reverting,open_auction,none
2025-09-01,bullish,2025-09-01 09:34:00 +0530,24534.95,24533.5508,24432.6992,100.85160000000178,0.0,false,false,inside,4,Monday,100.64960000000065,32.10000000000218,true,false,,,,,26.01,-43.99,2025-09-01 10:18:00 +0530,44,55.56,0.258,27,100,0,,0,-5.2,-0.2,0.0,24.3,normal,trending,open_auction,none
2025-09-02,bullish,2025-09-02 09:38:00 +0530,24689.4,24685.8496,24631.3496,54.5,0.0,false,false,inside,4,Tuesday,66.69959999999992,167.05040000000008,true,false,,,,,113.01,-99.84,2025-09-02 10:33:00 +0530,55,99.92,1.694,53,100,0,13,41,20.33,0.1799,0.1799,28.5,normal,trending,open_auction,none
2025-09-02,bearish,2025-09-02 13:55:00 +0530,24626.05,24685.8496,24631.3496,54.5,0.0,false,false,inside,4,Tuesday,103.7003999999979,0.0,true,false,,,,,67.01,-99.85,2025-09-02 14:10:00 +0530,15,99.91,0.646,55,100,0,14,0,-17.09,-0.255,0.0,28.3,normal,trending,open_auction,none
2025-09-03,bullish,2025-09-03 12:16:00 +0530,24631.7,24630.6992,24533.1992,97.5,0.0,false,false,inside,4,Wednesday,105.35080000000016,38.60000000000218,true,false,,,,,25.25,-14.99,2025-09-03 12:47:00 +0530,31,32.13,0.24,37,100,0,,0,0.54,0.0212,0.0212,30.0,normal,mean_reverting,open_test_drive,none
2025-09-04,bearish,2025-09-04 10:14:00 +0530,24842.0,24980.75,24847.25,133.5,0.0,false,false,inside,4,Thursday,133.8008000000009,35.0,true,false,,,,,8.22,-30.91,2025-09-04 10:47:00 +0530,33,36.16,0.061,29,100,0,,0,-7.56,-0.9195,0.0,16.7,normal,trending,open_auction,none
